url	first_seen	portal	title	company	status	location	fingerprint	posted_at	trust_score	trust_flags	normalized_company
https://www.okta.com/company/careers/opportunity/8092242?gh_jid=8092242	2026-07-28	greenhouse-full	Senior Software Engineer, AI Agentic Experience (Auth0)	okta	added	Bellevue, Washington; Chicago, Illinois; New York, New York		2026-07-28			okta
https://job-boards.greenhouse.io/lilasciences/jobs/4324886009	2026-07-28	greenhouse-full	Research Scientist, Computational Condensed Matter Physics	lilasciences	added	Cambridge, MA USA		2026-07-28			lilasciences
https://careers-realpagepms.icims.com/jobs/14285/agentic-ai-developer-iv/job	2026-07-28	icims-full	Agentic AI Developer IV	realpagepms	added	US-TX-Richardson		2026-07-28			realpagepms
https://franklintempleton.wd5.myworkdayjobs.com/primary-external-1/job/Boston-Massachusetts-United-States-of-America/Risk-Analyst--Putnam-_867788	2026-07-28	workday-full	Quantitative Analyst (Putnam)	franklintempleton	added	Boston, Massachusetts, United States of America		2026-07-28			franklintempleton
https://gsk.wd5.myworkdayjobs.com/gskcareers/job/USA---Pennsylvania---Upper-Providence/Senior-Applied-AI-Engineer_436766	2026-07-28	workday-full	Applied AI Engineer	gsk	added	2 Locations		2026-07-28			gsk
https://nvidia.wd5.myworkdayjobs.com/nvidiaexternalcareersite/job/US-CA-Santa-Clara/Senior-Software-Engineer--Agentic-AI_JR2017340	2026-07-28	workday-full	Senior Software Engineer, Agentic AI	nvidia	added	6 Locations		2026-07-28			nvidia
https://jobs.ashbyhq.com/abridge/897709b2-e03d-4574-8611-5cfd669adde9	2026-07-29	ashby-full	Software Engineer, GenAI	abridge	added	SF Office · NYC Office · New York City · USA		2026-07-29			abridge
https://jobs.ashbyhq.com/deepgram/17f95148-fa1c-4c34-82c8-333589bef789	2026-07-29	ashby-full	Staff Product Manager, Agentic Experiences (Former Engineer)	deepgram	added	USA | Remote		2026-07-29			deepgram
https://jobs.ashbyhq.com/standinsurance/259bb94f-1dfd-458f-88f8-5d1f61c56847	2026-07-29	ashby-full	Member of the Technical Staff - Agentic Engineer	standinsurance	added	San Francisco		2026-07-28			standinsurance
https://job-boards.greenhouse.io/phaidra/jobs/4719324005	2026-07-29	greenhouse-full	Senior AI Research Scientist (Model-based RL)	phaidra	added	Remote - Europe		2026-07-28			phaidra
https://job-boards.greenhouse.io/phaidra/jobs/4719314005	2026-07-29	greenhouse-full	Senior AI Research Engineer	phaidra	added	Remote - Europe		2026-07-28			phaidra
